,id_list,gene_list,name,description,aggregate
PHGDH,ENSG00000092621,PHGDH,PHGDH,Just PHGDH,
s13_ad_associated_lncrnas,ENSG00000278768 ENSG00000246790 ENSG00000236824 ENSG00000240498 ENSG00000248587 ENSG00000225978 ENSG00000231133 ENSG00000242125 ENSG00000242808 ENSG00000281721 ENSG00000261340 ENSG00000226029 ENSG00000259125 ENSG00000225783 ENSG00000245532 ENSG00000260924 ENSG00000241560 ENSG00000264745 ENSG00000152931 ENSG00000224078 ENSG00000234741 ENSG00000236901 ENSG00000240562 ENSG00000229807 ENSG00000277209 ENSG00000214548 ENSG00000245573 ENSG00000251562 ENSG00000236824 ENSG00000287997 ENSG00000259125 ENSG00000248587 ENSG00000255717 ENSG00000245573 ENSG00000183242 ENSG00000237737 ENSG00000280809 ENSG00000261610 ENSG00000261087 ENSG00000259976 ENSG00000271147 ENSG00000259976,BACE1-AS SORL1-AS1 BCYRN1 CDKN2B-AS1 GDNFOS HAR1A HAR1B SNHG3 SOX2-OT LINC01080 LINC01616 LINC01772 LRP1-AS MIAT NEAT1 LINC01311 ZBTB20-AS1 TTC39C-AS1 PART1 SNHG14 GAS5 MIR600HG RP11-59J16.2 XIST Rpph1 MEG3 BDNF-AS MALAT1 BC200 EBF3-AS1 LRP1-AS GDNF-AS1 SNHG1 BDNF-AS WT1-AS DCTN1-AS1 LINC00836 Lnc-MIS18A-1 Lnc-ZNF706-1 NNT-AS1 ARMCX5-GPRASP2 Lnc-ZBTB20-1,S13 AD-associated lncRNAs,"AD-associated lncRNAs from Supplementary Table S13, with entries lacking Ensembl IDs removed. Table-order duplicates are retained.",
text_ad_only_functional_lncrnas,ENSG00000229956 ENSG00000227028 ENSG00000270751,FBXW7-AS1 Lnc-PDE4D-2 Lnc-KLHL11-1 Lnc-NIF3L1-5 Lnc-KALRN-1 Lnc-CCDC68-1 HSALNG0099005 HSALNG0105911 ZRANB2-DT ENSG00000287022 SLC8A1-AS1,AD-only functional lncRNAs,"lncRNAs highlighted in the text as functionally assigned exclusively within the AD network, suggesting gain of function in AD.",F
text_downregulated_core_lncrnas,ENSG00000260281,ITFG1-AS1 Lnc-MYCN-6 Lnc-EFR3A-6 HSALNG0089044 Lnc-CCDC68-1,Downregulated core lncRNAs in AD,"Among the highlighted candidate/core lncRNAs, these five were described in the text as dysregulated or downregulated in AD.",F
text_ad_only_functional_protein_genes,ENSG00000077254 ENSG00000134121 ENSG00000120251 ENSG00000139131,CHL1 USP33 GRIA2 YARS2,AD-only functional protein-coding genes,Four protein-coding genes highlighted in the text as annotated to biological processes only within the AD network.,F
text_known_ad_hub_genes,ENSG00000014641 ENSG00000123983 ENSG00000114573 ENSG00000070087 ENSG00000136521 ENSG00000120251 ENSG00000112996 ENSG00000134057 ENSG00000182220 ENSG00000070718 ENSG00000165678 ENSG00000061794 ENSG00000198513 ENSG00000100554 ENSG00000125814,ATL1 AP3M2 ATP6AP2 ATP6V1A ATP6V1D ACSL3 CCNB1 GHITM GRIA2 MDH1 MRPS30 MRPS35 NAPB NDUFB5 PFN2,Previously reported AD hub genes,Genes highlighted in the discussion as previously reported hub genes in AD.,F
text_v_atpase_key_genes,ENSG00000114573 ENSG00000182220 ENSG00000147416 ENSG00000100554,ATP6V1B2 ATP6V1A ATP6AP2 ATP6V1D,V-ATPase key genes,Four V-ATPase-related genes highlighted in the text as appearing in the study's key gene list.,F
text_therapeutic_target_candidates,ENSG00000115520 ENSG00000123983 ENSG00000114573 ENSG00000097007,ABL1 ACSL3 ATP6V1A CISD COQ10B,Therapeutic target candidates,Genes highlighted in the discussion as promising therapeutic targets for AD.,F
ad_gwas_harold_2009,ENSG00000120885 ENSG00000073921 ENSG00000130203,APOE CLU PICALM,Harold 2009 AD GWAS loci,"Harold et al. reported genome-wide significant association with APOE, CLU, and PICALM.",F
ad_gwas_corneveaux_2010_top_genes,ENSG00000203710 ENSG00000120885 ENSG00000073921 ENSG00000159640 ENSG00000101439 ENSG00000130203,APOE CLU PICALM CR1 CST3 ACE,Corneveaux 2010 top AD genes,"Corneveaux et al. explicitly say they confirmed APOE, CLU, PICALM, CR1, and previously implicated CST3 and ACE.",F
ad_gwas_second_wave_review,ENSG00000198087 ENSG00000146904 ENSG00000214787 ENSG00000110079 ENSG00000166926 ENSG00000064687 ENSG00000105383,CD33 MS4A4A MS4A4E MS4A6E ABCA7 CD2AP EPHA1,Second-wave AD GWAS genes,"Ridge et al. review: the second set of large AD GWAS identified CD33, the MS4A4A/MS4A4E/MS4A6E cluster, ABCA7, CD2AP, and EPHA1.",F
ad_gwas_strongest_after_apoe,ENSG00000203710 ENSG00000136717 ENSG00000198087 ENSG00000146904 ENSG00000120885 ENSG00000110077 ENSG00000073921 ENSG00000064687 ENSG00000105383,BIN1 CLU CR1 PICALM MS4A6A ABCA7 EPHA1 CD33 CD2AP,Strongest AD GWAS loci after APOE,"Vázquez-Higuera et al. explicitly analyzed the 9 AD GWAS loci with the strongest effect sizes after APOE: BIN1, CLU, CR1, PICALM, MS4A6A, ABCA7, EPHA1, CD33, and CD2AP.",F
ad_microglial_innate_immunity,ENSG00000168918 ENSG00000095970 ENSG00000066336 ENSG00000197943 ENSG00000108798 ENSG00000105383,TREM2 PLCG2 ABI3 INPP5D SPI1 CD33,AD microglial innate immunity genes,"Sims et al. highlighted TREM2, PLCG2, and ABI3, and also identified INPP5D, SPI1, and CD33 as common-variant AD risk loci in the same microglial-innate-immunity context.",F
